2,32E+12;POSTO 1350 LTDA;RUA HEITOR LIBERATO,2430;;SAO JOAO;ITAJAI;SC;DIESEL S10;3,299;14/08/18 12:18;2020-04-21
2,43E+12;POSTO NAVES;RODOVIA BR 153,S/N;KM 722;CENTRO;FIGUEIROPOLIS;TO;GASOLINA C COMUM;4,899;11/07/18 12:43;2020-04-21
2,43E+12;POSTO NAVES;RODOVIA BR 153,S/N;KM 722;CENTRO;FIGUEIROPOLIS;TO;ETANOL;3,899;11/07/18 12:43;2020-04-21
2,43E+12;POSTO NAVES;RODOVIA BR 153,S/N;KM 722;CENTRO;FIGUEIROPOLIS;TO;DIESEL S500;3,639;11/07/18 12:43;2020-04-21
2,43E+12;POSTO NAVES;RODOVIA BR 153,S/N;KM 722;CENTRO;FIGUEIROPOLIS;TO;DIESEL S10;3,739;11/07/18 12:43;2020-04-21
2,45E+12;POSTO HP 2;RODOVIA CE 364, KM 52,00;MARGEM ESQUERDA;CENTRO;MORAUJO;CE;GASOLINA C COMUM;4,97;23/05/19 12:57;2020-04-21
2,45E+12;POSTO HP 2;RODOVIA CE 364, KM 52,00;MARGEM ESQUERDA;CENTRO;MORAUJO;CE;ETANOL;3,94;23/05/19 12:57;2020-04-21
2,45E+12;POSTO HP 2;RODOVIA CE 364, KM 52,00;MARGEM ESQUERDA;CENTRO;MORAUJO;CE;DIESEL S500;3,85;23/05/19 12:57;2020-04-21
2,45E+12;POSTO HP 2;RODOVIA CE 364, KM 52,00;MARGEM ESQUERDA;CENTRO;MORAUJO;CE;DIESEL S10;3,89;23/05/19 12:57;2020-04-21
2,46E+12;AUTO POSTO 020;RODOVIA BR 020,SN;KM    30;DISTRITO DO BEZERRA;FORMOSA;GO;GASOLINA C COMUM;4,499;08/02/20 11:44;2020-04-21
2,46E+12;AUTO POSTO 020;RODOVIA BR 020,SN;KM    30;DISTRITO DO BEZERRA;FORMOSA;GO;ETANOL;3,259;02/01/20 14:03;2020-04-21
